Reviewer Name,Review Text,Review Date,Star Rating
Sylvie Nico,French on vacation...chance brought us here...and we were disappointed! Good pizzas and good value for money for NY 😊we validate. at 4 we paid 44💵 …,6 months ago,5
Adriana Moreno,Good taste; good price; close to Central Park and the American Museum of Natural History,9 months ago,5
Sotiris Kazaklis,Very tasty pizza and cheap. Everything we tried was delicious.,6 months ago,5
Kamil Brzeziński,Great place for a quick pizza. You can buy a piece and eat it on site or take it away. Large selection. I recommend!,2 years ago,5
Anagaby Saldaña,Excellent flavor; without a doubt a small place that you cannot miss; a few blocks from the Natural History Museum.🤤 …,2 years ago,5
Michael Obeloer,Maybe the best pizza in New York 🍕 Super tasty and not too expensive 👍🏼🇺🇸 …,2 years ago,5
Jeanne LE NEZET,Very good slices of pizza. And fair prices!,a year ago,4
Youri Lajoie,We were looking for a small; inexpensive; typically New York restaurant... we were not disappointed! Excellent pizza; excellent price; fast service; nothing to complain about!,a year ago,5
Gabriele Ricchiardi,NYC style pizza by the slice; also excellent on an Italian scale. The square pan option is also very valid. Excellent quality pasta and sauces.,2 years ago,5
Marcia Marli S C Figueira,Nice and cozy place; but nothing very special. The pizza is very average and the price is ok compared to other places; I confess that the square pizza was better than the standard one lol.,a year ago,5
Bénédicte Joubert,Excellent pizza; well garnished. fair price,a year ago,5
Noel CHOPARD-LALLIER,Excellent pizzas Lots of choice,3 weeks ago,5
Nina Kostic,Great pizza; perfect dough.,3 months ago,5
Lara Romano,Pizza tested and approved. This is obviously the giant pizza; the one that... you can have dinner with a slice. Good dough. Cooked well. Well done!,2 years ago,5
רונן נקב,Very high quality pizzas; hot inside without air conditioning; outside they didn't open the umbrella; but hey great pizza.,a year ago,5
Mario Baeza,Very tasty and good service.,2 years ago,4
Carlos Trejos,Excellent portions of pizza 🍕 very tasty and very fast service …,a year ago,5
KEENNY TRAPANI,Delicious pizzas; a different flavor than others I've tried 😋 🤤 👌 …,a year ago,5
Raúl Barrionuevo González,We liked the pizzas. I recommend it if you are in the area,10 months ago,5
Jerzy Piechowiak,Very good pizza. You can buy pieces (each piece may be different). Or a whole pizza.,2 years ago,5
Michael,Great pizza at a reasonable price! If you want a delicious snack; you've come to the right place!,2 years ago,5
Ярослав Бобровський,Just super! Wow... especially with eggplant it was very tasty),a year ago,5
Geórgia Medeiros,Sooooo good!!,2 years ago,5
Geneviève MATTHYS,Very good pizza and excellent garlic knots 🤤🤤🤤 …,a year ago,5
Pilar Álvarez Benedicto,The pizza is not bad; but the waiter who serves you could not be more unpleasant to treat you.,2 years ago,
Cesar Cayo Talavera,Very delicious typically New York pizza,a year ago,5
Cindy Hernandez,Excellent pizza!,5 months ago,5
Jacky Luu,Very good pizza; especially the square pies.,11 months ago,5
David MENISSIER,Very good pizzas. We found them better than at Joe's Pizza 😁😉 …,a year ago,5
JM O,Not bad for eating on the go but definitely too fatty.,2 years ago,3
Christina White,No review content,a year ago,5
Janet Urbina,The pizzas are very delicious; recommended 💯 by 💯 …,a year ago,5
Natalie Tomlinson,No review content,a year ago,4
Carla Escolà Costa,Unbeatable price-quality ratio.,a year ago,5
Pedro Mazzino,One of the best pizzas in NYC.,2 years ago,5
ytalo delgado,Delicious pizza !,2 years ago,5
Olivia Charlot,Fast service and very good pizza!,2 years ago,5
Jose Santiago,Me. I like the service; I really recommend it 👌 👍 …,2 years ago,5
Anika Vil,Super tasty; super cross :-),2 years ago,5
Martiniano Gutierrez,Fast; rich and economical. Excellent.,2 years ago,5
Mrinal Kumar,Best pizza UWS,2 years ago,5
Federica De Angelis,The pizza is very good!!!,a year ago,5
Pornnapa Singhawannurat,No review content,2 years ago,5
Skyler Spivey,No review content,2 years ago,5
Joseph Tordella,No review content,3 years ago,5
Alexander Schmidt,Delicious!,a year ago,5
Juan Carlos,Delicious pizza; thank you,2 years ago,5
Karla Santos,No review content,2 years ago,5
Jorge Díaz,()_() (•.•) / >🍕 …,7 months ago,4
Santiago Bonilla Crespo,Delicious,2 years ago,5
radha sukhu,No review content,a year ago,5
Mitch Million,No review content,a year ago,5
Cely Mah,No review content,a year ago,4
Shin Suk Choi,No review content,a year ago,5
Martin Rubio,Delicious,2 years ago,5
Antonio Cruz,No review content,a year ago,4
Purple Lady2445,No review content,a year ago,5
Ian Yates,No review content,a year ago,4
Alonso Salmonella,No review content,a year ago,5
George Yates,No review content,a year ago,5
Thomas Devos,No review content,a year ago,5
Roger Orton,No review content,a year ago,5
Caryn N. Chan,No review content,a year ago,5
Sascha Ellington,No review content,a year ago,5
Farah Cineus,No review content,a year ago,5
Tobias Böhm,No review content,a year ago,5
Michael Condon,No review content,a year ago,5
ajay kumar Palaniswamy,No review content,a year ago,5
Christine Testa REHS RS CPFS (The Food Safety Mentor),No review content,a year ago,5
Sandra Bergman,No review content,a year ago,5
Ramon Sosa,No review content,a year ago,5
J o E L p E r E Z,No review content,a year ago,4
Geetika Nagpal,No review content,2 years ago,5
J Lopez,No review content,a year ago,5
Luis Villadiego,No review content,2 years ago,5
Cesar Ramon Peña Peña,No review content,a year ago,5
Juan Se Quintero,Delicious!,2 years ago,5
Andrew Lock,No review content,2 years ago,4
Marcel C.,No review content,2 years ago,4
Nadav Winer,No review content,2 years ago,5
Andrew Chang,No review content,2 years ago,5
Adva Y,Thank you for rating your experience with us Adva. We’re sad to see you gave us a low rating with no feedback on your overall experience with us. … More,2 years ago,3
Ali Karimi,No review content,2 years ago,5
Webster Ross,No review content,2 years ago,5
Michael Alan Connelly,No review content,2 years ago,5
Alexiz Patt,No review content,2 years ago,5
Iana Leontieva,Hi Lana;  Thank you for taking the time to review us. … More,2 years ago,3
Banner Al,No review content,2 years ago,5
Bhavani Prabha,No review content,2 years ago,5
Camila Concepción,No review content,2 years ago,5
david caceres,No review content,2 years ago,5
Peter Berthold,No review content,2 years ago,5
Rohish Samant,No review content,2 years ago,5
Chris Ekonomidis,No review content,2 years ago,5
Rodolphe Tissier,No review content,2 years ago,5
Robert Leonard,No review content,2 years ago,5
Oswal Zar,Delicious Pizza,a year ago,5
Pietro Luna,No review content,2 years ago,5
Bobby Billy,No review content,2 years ago,5
Brandi Wolfe,No review content,2 years ago,5
Subashini Azhagappa,No review content,2 years ago,4
Omar Syed,No review content,2 years ago,5
Denis Romanov,No review content,2 years ago,5
Katiria Vargas (Kati),No review content,3 years ago,4
Ricky Celi,No review content,3 years ago,4
Elizabeth Alt,No review content,3 years ago,5
Otoniel Méndez,No review content,3 years ago,4
Matt Colf (Matt Colf),No review content,3 years ago,3
Tom Killeen,No review content,3 years ago,5
Georg Malik,Perfect pizza,2 years ago,5
Juliana Gerhardt,Thank you for the fantastic 5-star rating! We're thrilled to hear that you enjoyed our pizza here in the Upper West Side. We take pride in serving some of the best pizza in New York; and it's feedback like yours that motivates us to keep … More,3 weeks ago,5
Clark Valmont,Thank you so much for the 5-star review; Clark! We truly appreciate your feedback and are thrilled to hear that you enjoyed our pizza. Here at Made in New York Pizza in the Upper West Side; we're passionate about serving the best pizza in … More,3 weeks ago,5
Sam Honaker,Thank you for the 5-star review; Sam! We're thrilled to hear that you had a great experience at Made in New York Pizza in the Upper West Side. We take pride in serving up some of the best pizza in the area; and it's customers like you who … More,a month ago,5
David Parker,Thank you for the 5-star rating; David! We're delighted to hear that you enjoyed our pizza at Made in New York Pizza in the Upper West Side. Here at our pizza place; we take pride in serving the best pizza in town; made with authentic New … More,a month ago,5
Enamul H,No review content,2 months ago,4
Oliwia Bieniek,No review content,2 months ago,4
Peter Yoo,Thank you for the raving 5-star review! We are thrilled to hear that you enjoyed our Upper West Side pizza joint. At Made in New York Pizza; we take pride in serving up the best pizza in town; made with love and fresh ingredients. We hope … More,2 months ago,5
Nabil I,No review content,2 months ago,3
Nieznany,Thank you for the 5-star rating! We are thrilled to hear that you enjoyed your experience at Made in New York Pizza. Our goal is to serve the best pizza in the Upper West Side; and we are delighted to know that we hit the mark with you. Looking forward to serving you again soon at one of the top pizza places in New York!,2 months ago,5
Stacy Hydinger,Thank you for the 5-star rating; Stacy! We're delighted to hear that you enjoyed our pizza here at Made in New York Pizza in the Upper West Side. We take pride in serving the best pizza in town and it warms our hearts to know that you had a … More,2 months ago,5
Bruno Martins,No review content,2 months ago,4
Mike Conrad,Thank you so much for the awesome 5-star rating; Mike! We're thrilled to hear that you enjoyed our pizza here at Made in New York Pizza in the Upper West Side. The team works hard to serve up the best pizza in town; and it means a lot to us … More,2 months ago,5
Manzinger 1980,No review content,3 months ago,
Alexandre Eldaoud,Thank you for the 5-star review! We're thrilled to hear that you enjoyed our pizza at Made in New York Pizza in the Upper West Side. We take pride in serving up the best pizza in the area; and it's awesome to know that you had a great … More,3 months ago,5
Kuljinder Dhillon,Thank you so much for the 5-star rating; Kuljinder! We're thrilled to hear that you enjoyed our pizza here at Made in New York Pizza in the Upper West Side. We take pride in serving some of the best pizza in the area and it's always awesome … More,3 months ago,5
shreya mujumdar,Thank you for the 5-star review! We're thrilled to hear that you enjoyed our pizza here at Made in New York Pizza in the Upper West Side. We take pride in serving up some of the best pizza in the area; and we're glad you think so too. Next … More,4 months ago,5
Hina Thahseen,No review content,4 months ago,4
H Lev,Hey H Lev! Thanks so much for the awesome rating! Hope to see you again soon! Cheers! ,4 months ago,5
Nesha S,Hey Nesha! Thanks so much for the awesome rating! Hope to see you again soon! Cheers!,5 months ago,5
Heiner Proust,No review content,5 months ago,5
Faith Elizabeth Fuller,Hey Faith! Thanks for the awesome review. We're glad you enjoyed our pizza! 🍕👍  …,6 months ago,5
501Learay,Hey 501Learay! Thanks for the awesome review. We're glad you enjoyed our pizza! 🍕👍  …,6 months ago,4
Peter Spaet,Thank you so much for your feedback! ,6 months ago,4
Guillaume,Thank you so much for your feedback! ,7 months ago,5
Lyndsey Miller,Thank you so much for your feedback! ,7 months ago,5
Sabrina Thompson,Thank you so much for your feedback! ,7 months ago,5
Janissa Rose,Thank you so much for your feedback! ,7 months ago,5
Eduardo Acosta,No review content,7 months ago,5
Paul Emerson,Thank you so much for your feedback Paul; we look forward to hosting you again soon! ,8 months ago,4
Aaron Mota,No review content,8 months ago,4
Jerrin Joseph,Thank you so much for your feedback Jerrin; we look forward to hosting you again soon!,10 months ago,5
Desi Pilla,Desi; thanks for your feedback! If you'd like to share more information about your dining experience; feel free to reach out. Look forward to seeing you again soon.,10 months ago,4
Armin Palić,Thank you so much for your feedback Armin; we look forward to hosting you again soon!,10 months ago,5
Kristen M,Kristen; thanks for your feedback! If you'd like to share more information about your dining experience; feel free to reach out. Look forward to serving you again soon.,10 months ago,4
Haneen Boughanem,Thank you so much for your feedback Haneen; we look forward to hosting you again soon!,10 months ago,5
Koa Honda,Thank you so much for your feedback Koa; we look forward to hosting you again soon!,10 months ago,5
Suhaibi,No review content,a year ago,5
JAVIER ANDRES VELEZ-MARTINEZ,No review content,a year ago,5
Arturo Chanfreau,No review content,a year ago,5
Nicholas Bowser,No review content,a year ago,4
Fabio Buda,No review content,a year ago,4
odilee minier,No review content,a year ago,5
Anita Grabowska,No review content,a year ago,5
Bryndon Coughlin,No review content,a year ago,4
Amadon DellErba,No review content,a year ago,4
David A. Beard,No review content,a year ago,5
Brian Rivera-Matos,No review content,a year ago,5
Rommel Castro,No review content,a year ago,5
Monia N,No review content,a year ago,5
Carlos Lugo,No review content,a year ago,5
michael feinberg,No review content,a year ago,5
Peter Hatzidimitriu Dimas,No review content,2 years ago,5
Boubacar Diallo,No review content,2 years ago,5
gal,No review content,2 years ago,5
bob dick,No review content,2 years ago,5
Cameron Tarzaban,No review content,2 years ago,5
Wojciech Nadolny,No review content,2 years ago,5
Angely Matias,No review content,2 years ago,
Jack Dermer,No review content,2 years ago,5
